accession	tissues
PXD000004	['brain']
PXD000072	['blood platelet']
PXD000228	['blood']
PXD000440	['blood']
PXD000445	['colon']
PXD000529	['liver']
PXD000533	['liver']
PXD000561	['prostate gland', 'gut', 'testis', 'helper T-lymphocyte', 'kidney', 'retina', 'pancreas', 'adrenal gland', 'spinal cord', 'natural killer cell', 'cytotoxic T-lymphocyte', 'liver', 'urinary bladder', 'gall bladder', 'brain', 'heart', 'lung', 'ovary', 'blood platelet', 'frontal lobe', 'B-lymphocyte', 'colon', 'placenta', 'monocyte', 'rectum', 'esophagus']
PXD000605	['blood plasma']
PXD001324	['breast']
PXD001325	['breast']
PXD001326	['breast']
PXD001357	['dental plaque']
PXD001359	['dental plaque']
PXD001415	['blood']
PXD001416	['blood']
PXD001417	['blood']
PXD001418	['blood']
PXD001419	['blood']
PXD001420	['blood']
PXD001421	['blood']
PXD001422	['blood']
PXD001423	['blood']
PXD001425	['blood plasma']
PXD001524	['testis']
PXD001674	['blood']
PXD001985	['sputum']
PXD002014	['knee', 'chondrocyte']
PXD002132	['head and neck squamous cell carcinoma cell line']
PXD002133	['kidney']
PXD002211	['umbilical vein']
PXD002212	['umbilical vein']
PXD002437	['bronchoalveolar lavage']
PXD002620	['ureter']
PXD002883	['blood platelet']
PXD002990	['lymph node']
PXD003045	['urine']
PXD003075	['cerebrospinal fluid']
PXD003215	['cranium']
PXD003406	['umbilical vein']
PXD003407	['umbilical vein']
PXD003408	['umbilical vein']
PXD003409	['umbilical vein']
PXD003410	['umbilical vein']
PXD003411	['umbilical vein']
PXD003412	['skin']
PXD003413	['skin']
PXD003414	['skin']
PXD003415	['skin']
PXD003416	['skin']
PXD003417	['skin']
PXD003533	['blood plasma']
PXD003534	['blood']
PXD003666	['blood plasma']
PXD003743	['non-small cell lung cancer cell']
PXD003963	['skin']
PXD003965	['skin']
PXD003966	['skin']
PXD003967	['skin']
PXD003971	['skin']
PXD004355	['brain']
PXD004443	['blood']
PXD004510	['cerebral gray matter']
PXD004540	['cerebrospinal fluid']
PXD004624	['blood serum']
PXD004625	['blood serum']
PXD004626	['blood serum']
PXD004682	['lung']
PXD004683	['lung']
PXD005055	['ovary']
PXD005220	['synovial tissue']
PXD005323	['liver']
PXD005436	['follicular fluid']
PXD005477	['blood']
PXD005650	['JURKAT cell']
PXD005693	['colon']
PXD005709	['liver']
PXD005733	['lung']
PXD005755	['blood plasma']
PXD006095	['lung']
PXD006096	['lung']
PXD006176	['blood']
PXD006265	['lung']
PXD006268	['skin']
PXD006419	['lung', 'cell culture', 'bone marrow']
PXD006465	['testis']
PXD006517	['kidney']
PXD006522	['kidney']
PXD006552	['brain']
PXD006570	['blood']
PXD006571	['blood']
PXD006572	['blood']
PXD006576	['blood']
PXD006578	['blood']
PXD006581	['blood']
PXD006589	['blood']
PXD006607	['brain']
PXD006743	['skin']
PXD006776	['colon']
PXD006805	['urinary bladder']
PXD006833	['liver']
PXD006847	['pancreatic islet']
PXD006863	['peritoneal dialysis fluid']
PXD006897	['kidney']
PXD006911	['heart']
PXD007080	['kidney']
PXD007081	['kidney']
PXD007122	['lung']
PXD007123	['lung']
PXD007137	['lung']
PXD007231	['esophagus']
PXD007234	['blood plasma']
PXD007258	['liver']
PXD007515	['testis']
PXD007592	['skin']
PXD007624	['anterior chamber of the eye']
PXD007705	['lung']
PXD007740	['colon']
PXD007744	['blood']
PXD007745	['blood']
PXD007846	['blood plasma', 'blood serum']
PXD007873	['brain']
PXD007894	['blood serum']
PXD007935	['cell culture', 'spleen']
PXD007959	['colon']
PXD007975	['blood plasma']
PXD008029	['blood plasma', 'cerebrospinal fluid']
PXD008127	['brain']
PXD008130	['blood platelet']
PXD008205	['heart']
PXD008217	['dental plaque']
PXD008252	['blood']
PXD008311	['brain']
PXD008354	['vitreous humor']
PXD008440	['colon']
PXD008443	['blood']
PXD008465	['blood plasma']
PXD008467	['blood plasma']
PXD008468	['blood plasma']
PXD008493	['palatine tonsil', 'parotid gland', 'nasal polyp']
PXD008568	['blood plasma']
PXD008601	['dental plaque']
PXD008682	['lung']
PXD008723	['uterine cervix']
PXD008795	['cerebral cortex', 'arcuate nucleus', 'hypothalamic nucleus', 'paraventricular nucleus of hypothalamus']
PXD008824	['kidney']
PXD008832	['ovary']
PXD008934	['heart']
PXD008992	['small intestine']
PXD008996	['skin']
PXD009021	['liver']
PXD009029	['blood serum']
PXD009056	['blood serum']
PXD009061	['oocyte']
PXD009112	['blood serum']
PXD009196	['skeletal muscle']
PXD009254	['pancreas']
PXD009258	['blood']
PXD009300	['kidney']
PXD009310	['blood platelet']
PXD009317	['skin', 'cell suspension culture']
PXD009343	['brain']
PXD009348	['blood plasma']
PXD009350	['blood plasma']
PXD009396	['blood']
PXD009438	['blood serum']
PXD009440	['saliva']
PXD009444	['lung', 'HeLa cell', 'brain']
PXD009476	['kidney', 'cell culture', 'blood serum']
PXD009596	['cervical epithelial cell']
PXD009603	['dental plaque']
PXD009606	['blood']
PXD009624	['cerebrospinal fluid', 'brain', 'blood']
PXD009645	['blood plasma']
PXD009646	['cerebrospinal fluid']
PXD009709	['urine']
PXD009716	['blood plasma']
PXD009737	['testis']
PXD009738	['breast']
PXD009752	['lung']
PXD009754	['lung']
PXD009755	['lung']
PXD009781	['tooth enamel']
PXD009784	['urine']
PXD009813	['saliva']
PXD009870	['blood plasma']
PXD009880	['skin']
PXD009893	['adipose tissue', 'umbilical cord']
PXD009916	['lung']
PXD009917	['lung']
PXD009996	['lung']
PXD010093	['testis']
PXD010142	['kidney', 'blood plasma', 'cell culture', 'HeLa cell']
PXD010150	['pancreas']
PXD010260	['urinary bladder']
PXD010271	['temporal lobe', 'substantia nigra', 'ovary', 'blood plasma', 'liver', 'pancreas', 'blood serum', 'cerebrospinal fluid', 'monocyte']
PXD010284	['lung']
PXD010286	['lung']
PXD010294	['liver']
PXD010469	['urine']
PXD010630	['HeLa cell', 'placenta']
PXD010690	['brain']
PXD010698	['cerebrospinal fluid']
PXD010705	['cerebrospinal fluid']
PXD010708	['cerebrospinal fluid']
PXD010786	['lung']
PXD010787	['lung']
PXD010821	['retina']
PXD011000	['skin']
PXD011152	['lymph node']
PXD011175	['lymph node']
PXD011183	['urine']
PXD011204	['blood platelet']
PXD011214	['urine']
PXD011241	['lung']
PXD011309	['blood plasma']
PXD011492	['skin']
PXD011609	['skin']
