accession;experimentTypes;instrumentNames;references
PXD001468;/;/;/
PXD004051;/;/;/
PXD001952;/;/;/
PXD000612;/;/;/
PXD002117;/;/;/
PXD006653;/;/;/
PXD001511;/;/;/
PXD001668;/;/;/
PXD009185;/;/;/
PXD005507;/;/;/
PXD001974;/;/;/
PXD003903;/;/;/
PXD003896;/;/;/
PXD002613;/;/;/
PXD003596;/;/;/
PXD004182;/;/;/
PXD005912;/;/;/
PXD004940;/;/;/
PXD001441;/;/;/
PXD003790;/;/;/
PXD003530;/;/;/
PXD006112;/;/;/
PXD003668;/;/;/
PXD004452;/;/;/
PXD005354;/;/;/
PXD004900;/;/;/
PXD008222;/;/;/
PXD005946;/;/;/
PXD005940;/;/;/
